Authors;Location;River / Watercourse;Q(m³/s);U(m/s);u*(m/s);S(m/m);B(m);H(m);A(m²);DL(m²/s);Rh(m);Method;Tracer
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;0.45;0.42;-;-;2.4;0.43;1.05;1.21;-;Peak concentration;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;0.54;0.51;-;-;2.4;0.43;1.05;1.21;-;Peak concentration;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;0.45;0.6;-;-;2.4;0.43;0.74;1.72;-;Peak concentration;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;0.54;0.6;-;-;2.4;0.43;0.74;1.72;-;Peak concentration;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;0.45;0.62;-;-;2.4;0.43;0.72;2.71;-;Chatwin;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;0.54;0.62;-;-;2.4;0.43;0.87;2.71;-;Chatwin;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;-;0.6;-;-;2.4;0.43;1.06;1.41;-;Advection-dispersion;NaCl
(RODRIGUES et al., 2013);Rio de Janeiro-RJ;São Pedro;-;0.7;-;-;2.4;0.43;0.86;0.37;-;Dead zone dispersion;NaCl
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;1.12;0.06;0.0005;195;0.69;-;120;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;1.12;0.05;0.0005;260;0.45;-;120;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.35;0.08;0.0005;303;1.33;-;35;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.37;0.08;0.0005;360;1.37;-;40;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.37;0.08;0.0005;434;1.15;-;40;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.35;0.09;0.0008;536;1.08;-;30;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.35;0.09;0.0008;622;1.07;-;30;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.36;0.1;0.0008;627;1.38;-;30;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.5;0.04;0.0002;720;0.97;-;50;-;Advection-dispersion;-
"(PALU; JULIEN, 2019)";Mariana-MG;Doce;-;0.5;0.04;0.0002;815;0.86;-;50;-;Advection-dispersion;-
(OLIVEIRA et al., 2017);Uberaba - MG;Jaú;0.272;0.31;0.15;0.00812;3.1;0.3;-;3.39;-;Routing procedure;NaCl
(OLIVEIRA et al., 2017);Uberaba - MG;Jaú;0.324;0.16;0.18;0.00812;3.5;0.4;-;0.7;-;Routing procedure;NaCl
(OLIVEIRA et al., 2017);Uberaba - MG;Jaú;0.445;0.27;0.27;0.00812;3.6;0.5;-;1.46;-;Routing procedure;NaCl
(OLIVEIRA et al., 2017);Uberaba - MG;Jaú;1.113;0.32;0.21;0.00812;4.9;0.7;-;1.06;-;Routing procedure;NaCl
(OLIVEIRA et al., 2017);Uberaba - MG;Jaú;1.106;0.56;0.21;0.00812;4.9;0.7;-;5.37;-;Routing procedure;NaCl
(OLIVEIRA et al., 2017);Uberaba - MG;Jaú;2.839;0.45;0.26;0.00812;3.9;1.4;-;1.56;-;Routing procedure;NaCl
